174,147,164
142,134,188
157,131,183
183,146,183
172,140,182
161,146,172
170,136,190
180,154,171
186,156,174
198,167,167
195,179,162
183,159,162
178,159,167
172,155,168
193,176,164
176,148,182
178,157,176
191,166,171
171,152,173
181,136,194
169,130,190
159,133,193
157,134,188
188,133,197
190,159,170
206,167,158
176,147,169
189,148,183
179,142,178
175,143,180
184,137,200
178,139,182
182,142,187
193,154,176
183,149,177
178,136,187
174,129,207
180,158,174
185,155,171
192,139,198
181,160,160
174,138,181
171,149,175
198,169,155
194,155,176
180,149,178
187,158,166
195,155,175
203,166,159
187,151,176
183,157,169
204,182,145
201,153,180
196,171,158
183,160,161
182,153,163
192,152,172
204,178,160
219,193,140
206,172,150
203,194,130
197,169,157
210,171,152
222,182,154
180,161,161
199,171,159
181,163,160
207,183,141
193,156,168
205,171,159
209,176,162
193,173,153
200,161,169
209,168,167
197,179,139
196,162,153
194,157,168
220,174,156
195,160,161
196,164,161
200,160,162
201,158,163
183,150,176
194,176,145
202,181,142
205,181,144
217,157,180
208,173,141
194,154,164
213,173,163
193,171,140
188,152,161
202,151,171
200,166,160
212,174,159
180,144,172
203,165,155
209,177,159
203,172,160
195,158,159
196,162,162
192,161,173
192,153,178
212,169,159
187,143,177
194,171,149
195,168,163
173,139,183
207,184,141
190,148,170
203,162,159
172,146,170
204,152,170
197,160,167
184,137,183
184,150,170
198,167,165
195,167,164
173,148,168
175,146,173
191,156,166
199,163,156
195,165,156
204,185,134
193,162,165
211,166,163
202,166,174
191,151,168
200,159,166
196,161,165
191,155,180
183,140,174
196,148,171
178,146,176
189,152,169
190,142,190
182,158,176
205,166,157
218,181,137
207,167,166
202,175,149
200,170,150
218,179,144
192,159,166
201,177,143
207,173,151
214,183,149
204,163,149
208,179,144
216,178,153
185,144,169
221,186,152
209,177,150
206,170,150
208,176,157
193,159,170
192,159,162
219,177,150
199,166,155
212,178,150
210,170,162
228,191,145
209,177,144
199,154,166
198,168,155
205,157,177
196,175,150
208,171,146
217,177,146
207,170,149
208,163,169
213,173,151
232,186,150
205,160,161
216,161,170
210,175,153
198,162,174
209,170,153
203,174,160
218,178,153
189,171,145
199,160,164
201,170,152
191,160,156
194,164,152
205,176,146
211,184,148
210,169,149
219,183,140
217,192,131
201,177,145
196,159,158
196,173,148
197,173,145
204,184,136
216,185,148
224,182,155
195,154,173
220,193,123
225,183,152
204,173,153
213,192,139
231,192,122
222,185,130
211,176,139
195,175,149
211,167,150
229,185,146
202,161,154
205,157,160
201,170,146
200,171,144
214,176,139
195,181,147
215,174,151
209,163,154
213,177,141
233,196,138
203,170,151
207,172,143
208,176,144
192,156,156
198,167,162
205,168,158
209,180,146
221,180,142
209,159,163
200,155,155
195,160,165
213,174,156
207,174,147
214,178,155
218,183,136
204,181,132
215,189,129
223,195,126
233,189,132
233,201,134
245,217,99
240,200,133
208,172,135
249,204,127
225,188,133
206,178,136
196,178,125
214,186,129
218,183,132
216,179,138
216,196,127
212,168,148
217,177,145
197,173,145
237,206,108
238,210,116
229,188,131
213,196,124
252,209,130
248,217,121
228,198,113
239,209,119
204,180,139
236,209,107
225,196,113
244,217,113
219,191,133
246,215,119
232,211,113
190,134,172
155,139,157
139,114,200
142,122,201
150,130,197
140,115,213
165,140,180
163,129,195
158,138,187
156,126,214
161,130,197
180,146,181
168,138,186
170,145,188
157,121,206
177,154,180
188,160,171
187,159,167
188,156,171
196,150,179
207,172,159
206,160,170
192,155,167
205,173,147
177,149,169
199,162,181
204,171,155
202,165,168
217,180,150
212,181,149
197,164,163
210,184,145
199,159,165
210,177,156
